nummer;id;version;resolution;seed;profession;race1;race2;gender1;gender2;large1;large2;position1;position2;machtposition1;machtposition2
1;v1_5_doctor_00001;1_5;512x512;3.10403E+13;doctor;1;1;2;2;2;1;1;2;3;3
4;v1_5_doctor_00004;1_5;512x512;3.10403E+13;doctor;1;1;1;2;1;2;3;3;1;2
5;v1_5_doctor_00005;1_5;512x512;3.10403E+13;doctor;1;2;2;1;3;3;3;3;3;3
6;v1_5_doctor_00006;1_5;512x512;3.10403E+13;doctor;1;1;2;2;2;1;3;3;1;2
7;v1_5_doctor_00007;1_5;512x512;3.10403E+13;doctor;1;2;2;1;2;1;3;3;3;3
8;v1_5_doctor_00008;1_5;512x512;3.10403E+13;doctor;1;1;1;2;1;2;2;1;3;3
9;v1_5_doctor_00009;1_5;512x512;3.10403E+13;doctor;1;1;2;2;2;1;1;2;2;1
10;v1_5_doctor_00010;1_5;512x512;3.10403E+13;doctor;1;1;1;2;1;2;2;1;1;2
12;v1_5_doctor_00012;1_5;512x512;3.10403E+13;doctor;1;1;2;2;3;3;3;3;2;1
13;v1_5_doctor_00013;1_5;512x512;3.10403E+13;doctor;1;2;1;2;1;2;3;3;1;2
16;v1_5_doctor_00016;1_5;512x512;3.10403E+13;doctor;1;3;1;2;3;3;2;1;1;2
17;v1_5_doctor_00017;1_5;512x512;3.10403E+13;doctor;1;1;2;2;2;1;3;3;1;2
18;v1_5_doctor_00018;1_5;512x512;3.10403E+13;doctor;1;1;2;1;2;1;1;2;3;3
19;v1_5_doctor_00019;1_5;512x512;3.10403E+13;doctor;1;2;1;2;1;2;1;2;3;3
20;v1_5_doctor_00020;1_5;512x512;3.10403E+13;doctor;1;2;2;1;2;1;2;1;2;1
22;v1_5_doctor_00022;1_5;512x512;3.10403E+13;doctor;2;1;2;2;2;1;3;3;1;2
23;v1_5_doctor_00023;1_5;512x512;3.10403E+13;doctor;1;1;1;2;1;2;3;3;2;1
27;v1_5_doctor_00027;1_5;512x512;3.10403E+13;doctor;1;2;2;2;2;1;2;1;1;2
28;v1_5_doctor_00028;1_5;512x512;3.10403E+13;doctor;1;1;1;2;1;2;3;3;1;2
30;v1_5_doctor_00030;1_5;512x512;3.10403E+13;doctor;1;1;2;2;2;1;2;1;3;3
32;v1_5_doctor_00032;1_5;512x512;3.10403E+13;doctor;2;2;2;1;2;1;2;1;1;2
33;v1_5_doctor_00033;1_5;512x512;3.10403E+13;doctor;1;1;1;2;1;2;2;1;3;3
