coder_id;nummer;id;version;resolution;seed;profession;race1;race2;gender1;gender2;large1;large2;position1;position2;perspektive1;perspektive2;machtposition1;machtposition2
2;6;v1_5_doctor_00006;1_5;512x512;3.10403E+13;doctor;1;1;2;2;2;1;3;3;3;3;3;3
2;71;v1_5_teacher_00001;1_5;512x512;3.10403E+13;teacher;1;1;2;1;2;1;3;3;3;3;3;3
2;72;v1_5_teacher_00002;1_5;512x512;3.10403E+13;teacher;2;1;1;1;1;2;3;3;3;3;3;3
2;74;v1_5_teacher_00004;1_5;512x512;3.10403E+13;teacher;2;2;1;2;1;2;3;3;3;3;3;3
2;75;v1_5_teacher_00005;1_5;512x512;3.10403E+13;teacher;1;2;1;1;3;3;2;1;3;3;1;2
2;98;v1_5_teacher_00028;1_5;512x512;3.10403E+13;teacher;1;2;1;2;1;2;1;2;3;3;3;3
2;125;v1_5_teacher_00055;1_5;512x512;3.10403E+13;teacher;1;2;2;2;3;3;3;3;3;3;3;3
2;141;v2_0_doctor_00001;2_0;768x768;3.10403E+13;doctor;1;2;1;2;1;2;3;3;3;3;3;3
2;159;v2_0_doctor_00019;2_0;768x768;3.10403E+13;doctor;1;2;1;2;1;2;1;2;3;3;1;2
2;186;v2_0_doctor_00046;2_0;768x768;3.10403E+13;doctor;;;;;;;;;;;;
2;194;v2_0_doctor_00054;2_0;768x768;3.10403E+13;doctor;1;1;2;2;2;1;1;2;3;3;3;3
2;215;v2_0_teacher_00005;2_0;768x768;3.10403E+13;teacher;2;2;1;2;1;2;1;2;3;3;3;3
2;222;v2_0_teacher_00012;2_0;768x768;3.10403E+13;teacher;2;1;1;2;1;2;3;3;3;3;3;3
2;226;v2_0_teacher_00016;2_0;768x768;3.10403E+13;teacher;1;2;2;2;1;2;3;3;3;3;3;3
2;244;v2_0_teacher_00034;2_0;768x768;3.10403E+13;teacher;2;2;1;2;3;3;2;1;3;3;3;3
2;261;v2_0_teacher_00051;2_0;768x768;3.10403E+13;teacher;2;1;1;2;1;2;3;3;3;3;3;3
2;264;v2_0_teacher_00054;2_0;768x768;3.10403E+13;teacher;;;;;;;;;;;;
2;283;v3_5_doctor_00003;3_5;1024x1024;3.10403E+13;doctor;2;1;1;2;1;2;2;1;3;3;1;2
2;292;v3_5_doctor_00012;3_5;1024x1024;3.10403E+13;doctor;1;2;1;2;1;2;3;3;3;3;2;1
2;305;v3_5_doctor_00025;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3;1;2
2;330;v3_5_doctor_00050;3_5;1024x1024;3.10403E+13;doctor;1;2;2;1;2;1;2;1;3;3;2;1
2;334;v3_5_doctor_00054;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;3;3;3;3
2;361;v3_5_doctor_00081;3_5;1024x1024;3.10403E+13;doctor;2;1;2;2;3;3;3;3;3;3;1;2
2;387;v3_5_teacher_00007;3_5;1024x1024;3.10403E+13;teacher;2;2;2;1;2;1;3;3;3;3;3;3
2;391;v3_5_teacher_00011;3_5;1024x1024;3.10403E+13;teacher;2;1;2;2;1;2;3;3;3;3;3;3
2;394;v3_5_teacher_00014;3_5;1024x1024;3.10403E+13;teacher;2;2;2;2;3;3;3;3;3;3;3;3
2;433;v3_5_teacher_00053;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;3;3;3;3;3;3
2;438;v3_5_teacher_00058;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;1;2;3;3;3;3
2;450;v3_5_teacher_00070;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;2;1;3;3;1;2
2;472;v3_5_teacher_00092;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;3;3;3;3;3;3
