num;id;ver;res ;seed;prof;R1;R2;G1;G2;L1;L2;P1;P2;PE1;PE2;MP1;MP2
nummer;id;version;resolution;seed;profession;race1;race2;gender1;gender2;large1;large2;position1;position2;perspektive1;perspektive2;machtposition1;machtposition2
16;v1_5_doctor_00016;1_5;512x512;3.10403E+13;doctor;1;1;1;2;3;3;2;1;1;1;1;2
18;v1_5_doctor_00018;1_5;512x512;3.10403E+13;doctor;1;1;2;1;2;1;3;3;3;3;3;3
38;v1_5_doctor_00038;1_5;512x512;3.10403E+13;doctor;1;1;2;2;2;1;3;3;3;3;3;3
43;v1_5_doctor_00043;1_5;512x512;3.10403E+13;doctor;;;;;;;;;;;;
60;v1_5_doctor_00060;1_5;512x512;3.10403E+13;doctor;1;1;2;2;3;3;3;3;3;3;3;3
78;v1_5_teacher_00008;1_5;512x512;3.10403E+13;teacher;2;2;1;1;1;2;3;3;3;3;3;3
90;v1_5_teacher_00020;1_5;512x512;3.10403E+13;teacher;1;1;2;1;2;1;3;3;3;3;2;1
95;v1_5_teacher_00025;1_5;512x512;3.10403E+13;teacher;1;1;1;1;3;3;3;3;3;3;3;3
100;v1_5_teacher_00030;1_5;512x512;3.10403E+13;teacher;;;;;;;;;;;;
105;v1_5_teacher_00035;1_5;512x512;3.10403E+13;teacher;2;1;1;1;1;2;3;3;2;2;3;3
163;v2_0_doctor_00023;2_0;768x768;3.10403E+13;doctor;2;1;1;2;3;3;2;1;3;3;3;3
180;v2_0_doctor_00040;2_0;768x768;3.10403E+13;doctor;1;1;2;1;2;1;3;3;3;3;2;1
184;v2_0_doctor_00044;2_0;768x768;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3;1;2
231;v2_0_teacher_00021;2_0;768x768;3.10403E+13;teacher;1;2;2;2;2;1;2;1;3;3;3;3
244;v2_0_teacher_00034;2_0;768x768;3.10403E+13;teacher;2;2;1;2;3;3;3;3;3;3;1;2
282;v3_5_doctor_00002;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3;1;2
334;v3_5_doctor_00054;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3;1;2
341;v3_5_doctor_00061;3_5;1024x1024;3.10403E+13;doctor;2;1;1;2;1;2;3;3;3;3;1;2
347;v3_5_doctor_00067;3_5;1024x1024;3.10403E+13;doctor;2;1;1;2;1;2;2;1;3;3;3;3
363;v3_5_doctor_00083;3_5;1024x1024;3.10403E+13;doctor;1;1;2;1;2;1;3;3;3;3;2;1
371;v3_5_doctor_00091;3_5;1024x1024;3.10403E+13;doctor;2;2;2;1;2;1;3;3;3;3;3;3
377;v3_5_doctor_00097;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;3;3;2;1;3;3;2;1
390;v3_5_teacher_00010;3_5;1024x1024;3.10403E+13;teacher;1;2;2;2;1;2;3;3;3;3;3;3
398;v3_5_teacher_00018;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;2;1;3;3;3;3
399;v3_5_teacher_00019;3_5;1024x1024;3.10403E+13;teacher;2;2;2;1;2;1;1;2;3;3;3;3
439;v3_5_teacher_00059;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;3;3;2;1;3;3;1;2
445;v3_5_teacher_00065;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;3;3;3;3;1;2
455;v3_5_teacher_00075;3_5;1024x1024;3.10403E+13;teacher;2;1;1;2;1;2;3;3;3;3;1;2
456;v3_5_teacher_00076;3_5;1024x1024;3.10403E+13;teacher;1;1;2;2;2;1;3;3;3;3;3;3
469;v3_5_teacher_00089;3_5;1024x1024;3.10403E+13;teacher;2;2;2;2;1;2;3;3;3;3;3;3
