nummer;id;version;resolution;seed;profession;left_right;race1;gender1;large1;position1;machtposition1;;race2;gender2;large2;position2;machtposition2
1;v1_5_doctor_00001;1_5;512x512;3.10403E+18;doctor;left;1;2;2;1;3;;;;;;
4;v1_5_doctor_00004;1_5;512x512;3.10403E+18;doctor;left;1;1;1;3;1;;;;;;
5;v1_5_doctor_00005;1_5;512x512;3.10403E+18;doctor;left;1;2;3;3;3;;;;;;
6;v1_5_doctor_00006;1_5;512x512;3.10403E+18;doctor;left;1;2;2;3;1;;;;;;
7;v1_5_doctor_00007;1_5;512x512;3.10403E+18;doctor;left;1;2;2;3;3;;;;;;
8;v1_5_doctor_00008;1_5;512x512;3.10403E+18;doctor;left;1;1;1;2;3;;;;;;
9;v1_5_doctor_00009;1_5;512x512;3.10403E+18;doctor;left;1;2;2;1;2;;;;;;
10;v1_5_doctor_00010;1_5;512x512;3.10403E+18;doctor;left;1;1;1;2;1;;;;;;
12;v1_5_doctor_00012;1_5;512x512;3.10403E+18;doctor;left;1;2;3;3;2;;;;;;
13;v1_5_doctor_00013;1_5;512x512;3.10403E+18;doctor;left;1;1;1;3;1;;;;;;
16;v1_5_doctor_00016;1_5;512x512;3.10403E+18;doctor;left;1;1;3;2;1;;;;;;
17;v1_5_doctor_00017;1_5;512x512;3.10403E+18;doctor;left;1;2;2;3;1;;;;;;
18;v1_5_doctor_00018;1_5;512x512;3.10403E+18;doctor;left;1;2;2;1;3;;;;;;
19;v1_5_doctor_00019;1_5;512x512;3.10403E+18;doctor;left;1;1;1;1;3;;;;;;
20;v1_5_doctor_00020;1_5;512x512;3.10403E+18;doctor;left;1;2;2;2;2;;;;;;
22;v1_5_doctor_00022;1_5;512x512;3.10403E+18;doctor;left;2;2;2;3;1;;;;;;
23;v1_5_doctor_00023;1_5;512x512;3.10403E+18;doctor;left;1;1;1;3;2;;;;;;
27;v1_5_doctor_00027;1_5;512x512;3.10403E+18;doctor;left;1;2;2;2;1;;;;;;
