"";"Variable";"n_Units";"n_Coders";"n_Categories";"Level";"Agreement";"Holstis_CR";"Krippendorffs_Alpha"
"1";"nummer";30;4;30;"nominal";1;1;1
"2";"version";30;4;3;"nominal";1;1;1
"3";"resolution";30;4;3;"nominal";1;1;1
"4";"seed";30;4;1;"nominal";1;1;1
"5";"profession";30;4;2;"nominal";1;1;1
"6";"race1";28;4;2;"nominal";1;1;1
"7";"race2";28;4;2;"nominal";0,964285714285714;0,976190476190476;0,952258064516129
"8";"gender1";28;4;2;"nominal";1;1;1
"9";"gender2";28;4;2;"nominal";1;1;1
"10";"large1";28;4;3;"nominal";0,714285714285714;0,851190476190476;0,767119838872105
"11";"large2";28;4;3;"nominal";0,75;0,869047619047619;0,796347260445334
"12";"position1";28;4;3;"nominal";0,571428571428571;0,761904761904762;0,619635055255718
"13";"position2";28;4;3;"nominal";0,571428571428571;0,761904761904762;0,619635055255718
"14";"perspektive1";28;4;3;"nominal";0,642857142857143;0,821428571428571;-0,0787172011661808
"15";"perspektive2";28;4;3;"nominal";0,642857142857143;0,821428571428571;-0,0787172011661808
"16";"machtposition1";28;4;3;"nominal";0,892857142857143;0,93452380952381;0,862453531598513
"17";"machtposition2";28;4;3;"nominal";0,892857142857143;0,93452380952381;0,862453531598513
